group_name,seqnames,start,end
cg26065310,chr9,139812237,139812239
cg08553572,chr19,947764,947766
cg07393058,chr18,11962888,11962890
cg01530292,chr19,5669473,5669475
cg09762242,chr11,65408428,65408430
cg04616571,chr10,105792530,105792532
cg12711889,chr7,139335403,139335405
cg19086033,chr15,78464456,78464458
cg04163967,chr21,39870626,39870628
cg04060138,chr5,145552770,145552772
cg11980117,chr22,22751699,22751701
cg14579184,chr17,80873364,80873366
cg16316183,chr12,129299464,129299466
cg19225438,chr14,64915053,64915055
cg15451187,chr16,69504162,69504164
cg18143296,chr3,157812762,157812764
cg01291375,chr6,170753312,170753314
cg17615629,chr6,30459866,30459868
cg06827976,chr1,27950588,27950590
cg07385375,chr3,16467725,16467727
cg19442004,chr22,31668638,31668640
cg11250268,chr20,62297747,62297749
cg10809434,chr16,27243529,27243531
cg22161674,chr2,235073159,235073161
cg18169610,chr11,2415616,2415618
cg21792134,chr3,121491381,121491383
cg15958366,chr3,187957026,187957028
cg07231045,chr8,142219443,142219445
cg07293059,chr20,61582920,61582922
cg17974145,chr7,101671555,101671557
cg16733705,chr12,85667615,85667617
cg20039163,chr8,118994562,118994564
cg22620221,chr7,153584415,153584417
cg13180508,chr22,24179355,24179357
cg02185182,chr7,2185549,2185551
cg11859419,chr14,51265000,51265002
cg21724658,chr5,39221058,39221060
cg14918424,chr8,121390869,121390871
cg13928306,chr16,3162396,3162398
cg08629372,chr19,10677833,10677835
cg00157572,chr14,60977960,60977962
cg09867669,chr17,2203332,2203334
cg19512737,chr5,171595486,171595488
cg20568305,chr22,47070250,47070252
cg15539117,chr2,85660998,85661000
cg22051913,chr2,430054,430056
cg03388043,chr17,80084553,80084555
cg02110603,chr20,48915870,48915872
cg16834212,chr3,67706499,67706501
cg03831862,chr7,139340249,139340251
cg13043748,chr20,431080,431082
cg13618516,chr17,79129077,79129079
cg19015143,chr11,124972761,124972763
cg10527635,chr3,43389350,43389352
cg00314173,chr1,15748262,15748264
cg11072837,chr10,105793357,105793359
cg12521152,chr16,71762003,71762005
cg19011001,chr14,93539612,93539614
cg02464822,chr6,13733591,13733593
cg07537591,chr3,11661074,11661076
cg03331514,chr7,1577015,1577017
cg14690711,chr12,132255516,132255518
cg03903974,chr8,131017591,131017593
cg04819180,chr17,80829156,80829158
cg24895155,chr8,127837198,127837200
cg14882828,chr5,14758149,14758151
cg23901274,chr21,28168535,28168537
cg05049790,chr5,1499151,1499153
cg04440811,chr11,129817711,129817713
cg02290460,chr8,619874,619876
cg22028456,chr11,124942621,124942623
cg01616956,chr2,232393195,232393197
cg25752703,chr3,128710389,128710391
cg15429655,chr10,71923412,71923414
cg22666015,chr2,233981884,233981886
cg24341448,chr1,42166702,42166704
cg17929130,chr20,62435353,62435355
cg26914256,chr2,106473733,106473735
cg17321723,chr7,2116381,2116383
cg04698991,chr8,28636028,28636030
cg10098541,chr3,122785649,122785651
cg21787305,chr17,71308805,71308807
cg13640297,chr6,170099237,170099239
cg19295170,chr15,74683602,74683604
cg18310515,chr2,85921528,85921530
cg16904106,chr20,62521330,62521332
cg07986378,chr12,11898283,11898285
cg13738327,chr11,68139232,68139234
cg09019636,chr2,62964765,62964767
cg08443124,chr19,2681038,2681040
cg14015828,chr13,100027480,100027482
cg18158479,chr8,42104532,42104534
cg17416169,chr13,44838700,44838702
cg24726200,chr21,38378345,38378347
cg04831943,chr6,159519420,159519422
cg14946236,chr9,134129690,134129692
cg17554464,chr12,56864387,56864389
cg24585781,chr10,47599298,47599300
cg09859208,chr8,68229499,68229501
cg24991963,chr14,35854974,35854976
cg13022415,chr17,465529,465531
cg21515766,chr5,171595342,171595344
cg10276098,chr8,8859548,8859550
cg08078028,chr10,120802095,120802097
cg10104480,chr16,72955249,72955251
cg17884674,chr19,1967197,1967199
cg22878786,chr12,56400855,56400857
cg25476713,chr8,8102120,8102122
cg07248377,chr16,4732405,4732407
cg16710656,chr16,89381967,89381969
cg14976569,chr19,4667104,4667106
cg26647135,chr7,99954399,99954401
cg21359303,chr10,106068572,106068574
cg22900360,chr10,72360371,72360373
cg14159576,chr7,47660961,47660963
cg25285289,chr2,96899770,96899772
cg15417024,chr1,33248745,33248747
cg00681462,chr14,75800723,75800725
cg02592133,chr2,99526034,99526036
cg16014651,chr7,5435065,5435067
cg10374063,chr13,93496027,93496029
cg13652798,chr7,102084083,102084085
cg21498676,chr17,3621707,3621709
cg19196676,chr12,45598673,45598675
cg26648455,chr7,19736013,19736015
cg07528283,chr3,133285995,133285997
cg00678912,chr2,214106613,214106615
cg11731596,chr17,15821129,15821131
cg11108105,chr16,81772909,81772911
cg26396370,chr2,10194751,10194753
cg15486224,chr8,101527560,101527562
cg22089737,chr2,74726632,74726634
cg08748811,chr4,47467251,47467253
cg10802680,chr12,122712074,122712076
cg13318914,chr6,31695060,31695062
cg06918740,chr19,18509972,18509974
cg15341692,chr11,72454695,72454697
cg18661463,chr13,103360027,103360029
cg20302236,chr8,28637292,28637294
cg05486531,chr19,39087342,39087344
cg08373904,chr11,1543274,1543276
cg02075976,chr20,10614572,10614574
cg10157558,chr10,62671227,62671229
cg25386954,chr5,60640138,60640140
cg04340595,chr1,9789173,9789175
cg18320790,chr15,89638572,89638574
cg01348584,chr7,4911021,4911023
cg06852746,chr10,70974643,70974645
cg22982754,chr5,130731993,130731995
cg02935272,chr18,3067384,3067386
cg11291456,chr12,69014520,69014522
cg05593759,chr5,125695847,125695849
cg03891962,chr16,89336559,89336561
cg03064900,chr4,190566140,190566142
cg27142604,chr18,43643041,43643043
cg02925148,chr6,43191651,43191653
cg07965924,chr12,122234979,122234981
cg25268422,chr9,136659312,136659314
cg09766547,chr7,30465149,30465151
cg24690563,chr14,81672111,81672113
cg02022181,chr7,1063890,1063892
cg23598378,chr6,42072985,42072987
cg02430840,chr22,26993175,26993177
cg00409987,chr11,46340784,46340786
cg09849319,chr5,1494982,1494984
cg11765227,chr11,111585872,111585874
cg04915079,chr19,18385850,18385852
cg20720686,chr7,75582880,75582882
cg06380691,chr13,114828263,114828265
cg05193189,chr12,133241536,133241538
cg18448570,chr10,98031336,98031338
cg12550496,chr6,169284343,169284345
cg11183227,chr15,91455406,91455408
cg20832643,chr6,111873827,111873829
cg25851277,chr3,42631428,42631430
cg20453460,chr11,70205086,70205088
cg24410690,chr12,129299480,129299482
cg10790709,chr12,95698083,95698085
cg17076369,chr2,88959143,88959145
cg16305792,chr12,48102138,48102140
cg03156020,chr13,100018982,100018984
cg12250581,chr12,2045809,2045811
cg16302816,chr11,16834799,16834801
cg22857085,chr4,85403222,85403224
cg06617327,chr18,3661480,3661482
cg15208685,chr14,69942381,69942383
cg00991875,chr6,161100375,161100377
cg21181210,chr14,105756865,105756867
cg00064733,chr7,153584037,153584039
cg26621918,chr22,20745994,20745996
cg00282192,chr11,57546040,57546042
cg11341144,chr3,185656288,185656290
cg22999830,chr14,93532631,93532633
cg11682923,chr3,127498389,127498391
cg12117703,chr19,56175673,56175675
cg24795700,chr2,134911362,134911364
cg03836521,chr16,30721269,30721271
cg06623899,chr8,142161839,142161841
cg05014732,chr8,61722765,61722767
cg06094959,chr15,75327053,75327055
cg11612905,chr2,234359653,234359655
cg24749672,chr12,51718107,51718109
cg08425623,chr16,89794299,89794301
cg04179951,chr15,78317695,78317697
cg13631075,chr6,80310884,80310886
cg00193210,chr22,31985571,31985573
cg21320221,chr17,79792996,79792998
cg11363726,chr3,16475414,16475416
cg02480298,chr11,36421229,36421231
cg01243072,chr2,43398170,43398172
cg23564664,chr2,113997916,113997918
cg04908211,chr6,113301254,113301256
cg05554782,chr11,76384691,76384693
cg09723776,chr8,126320142,126320144
cg06890747,chr7,39649289,39649291
cg15364446,chr14,49979047,49979049
cg21288307,chr21,30554263,30554265
cg06575611,chr8,144880592,144880594
cg06357748,chr12,1025528,1025530
cg12031275,chr15,101093833,101093835
cg00977469,chr10,1088691,1088693
cg13327545,chr10,22623547,22623549
cg03096698,chr2,61421692,61421694
cg11349980,chr10,1016694,1016696
cg09316997,chr14,91874912,91874914
cg08833031,chr17,10581817,10581819
cg19137806,chr10,134362169,134362171
cg21494075,chr11,129817716,129817718
cg27285287,chr2,234094883,234094885
cg22493042,chr7,2205744,2205746
cg13474450,chr8,142222684,142222686
cg10416312,chr7,6631251,6631253
cg22649227,chr10,80733170,80733172
cg06784824,chr11,47376984,47376986
cg22740684,chr17,66343092,66343094
cg20900333,chr9,90886141,90886143
cg13900919,chr20,47340600,47340602
cg02093418,chr9,126232852,126232854
cg13795831,chr20,57582705,57582707
cg07254416,chr2,235955446,235955448
cg11762360,chr12,6616712,6616714
cg02688146,chr3,45011099,45011101
cg12778204,chr8,102149990,102149992
cg20935165,chr2,172972839,172972841
cg13040600,chr2,135037974,135037976
cg04709771,chr16,646394,646396
cg16463880,chr6,31867706,31867708
cg13625458,chr17,30216898,30216900
cg07332880,chr11,71790278,71790280
cg16904852,chr10,80953832,80953834
cg10094443,chr4,39529865,39529867
cg07979757,chr11,2828651,2828653
cg09954592,chr5,1173068,1173070
cg10805054,chr17,76735039,76735041
cg24384486,chr4,6972329,6972331
cg21869046,chr19,41225004,41225006
cg01375262,chr16,73266784,73266786
cg09844573,chr20,62199189,62199191
cg17331920,chr17,4081324,4081326
cg06930739,chr14,93051405,93051407
cg13183251,chr22,24992577,24992579
cg17025221,chr20,1450872,1450874
cg21978794,chr5,133465369,133465371
cg16250772,chr5,41194116,41194118
cg05480110,chr3,195534853,195534855
cg05235625,chr11,129800682,129800684
cg09611027,chr2,102319119,102319121
cg09586927,chr18,43454861,43454863
cg14586711,chr2,224783533,224783535
cg04882272,chr2,171825743,171825745
cg09627709,chr7,97755718,97755720
cg15661715,chr7,151401946,151401948
cg21301387,chr11,128457474,128457476
cg12092651,chr19,4109095,4109097
cg02809149,chr20,60769784,60769786
cg06039667,chr3,32478496,32478498
cg09388301,chr8,101914670,101914672
cg04598121,chr8,57358504,57358506
cg27432516,chr16,84377773,84377775
cg27588075,chr5,96078436,96078438
cg23946394,chr9,134924496,134924498
cg05393175,chr13,31712990,31712992
cg15275979,chr1,90076386,90076388
cg20297638,chr7,2563669,2563671
cg19116601,chr5,79438458,79438460
cg00169184,chr12,124908919,124908921
cg03136023,chr7,2613597,2613599
cg03519012,chr20,25029329,25029331
cg21133251,chr2,242566889,242566891
cg13727277,chr7,1062870,1062872
cg04682977,chr7,1062710,1062712
cg01632240,chr8,42009222,42009224
cg20429104,chr18,74114569,74114571
cg06104989,chr6,35024897,35024899
cg16491682,chr16,68065921,68065923
cg08662757,chr11,67070966,67070968
cg16851138,chr8,117862585,117862587
cg24300753,chr15,79152318,79152320
cg27383859,chr3,122830174,122830176
cg12633968,chr18,12492302,12492304
cg13095421,chr4,160173060,160173062
cg06575692,chr16,68112967,68112969
cg05591270,chr10,80732608,80732610
cg22800555,chr6,91053482,91053484
cg14026109,chr6,109775013,109775015
cg01975495,chr7,100779016,100779018
cg06821460,chr12,49332782,49332784
cg05984496,chr5,177716200,177716202
cg18146216,chr6,135438530,135438532
cg24769398,chr3,188666021,188666023
cg17010895,chr2,65731516,65731518
cg07970040,chr1,9789164,9789166
cg03831756,chr22,20747629,20747631
cg05914150,chr5,67522331,67522333
cg16691087,chr20,20036683,20036685
cg15854242,chr13,99867858,99867860
cg22432956,chr2,43364318,43364320
cg21700663,chr15,101093899,101093901
cg10727474,chr11,1884898,1884900
cg03338209,chr22,37908795,37908797
cg12183789,chr7,2026367,2026369
cg08222626,chr7,5732731,5732733
cg19977179,chr3,128779499,128779501
cg06747770,chr2,107201988,107201990
cg17191047,chr2,36780702,36780704
cg21735461,chr22,26993161,26993163
cg25405284,chr5,138761983,138761985
cg07937803,chr19,3569035,3569037
cg05098343,chr7,37071685,37071687
cg00176928,chr3,72741322,72741324
cg10480329,chr2,27011849,27011851
cg13202571,chr7,100884561,100884563
cg15238183,chr7,139332835,139332837
cg12668854,chr17,944075,944077
cg01830256,chr14,105861939,105861941
cg24612198,chr11,118175630,118175632
cg00951279,chr4,184316765,184316767
cg27131486,chr18,76831648,76831650
cg24111443,chr15,40583708,40583710
cg04338635,chr5,14492404,14492406
cg23967739,chr12,8997528,8997530
cg19236028,chr6,53109478,53109480
cg24612059,chr17,44101461,44101463
cg03884100,chr17,44248640,44248642
cg16411445,chr21,40145922,40145924
cg25426716,chr5,125695698,125695700
cg16190128,chr20,14693043,14693045
cg10769442,chr5,139615895,139615897
cg09362796,chr4,3204791,3204793
cg05023903,chr14,99920321,99920323
cg14523804,chr17,75995967,75995969
cg15587064,chr9,132346132,132346134
cg15956469,chr12,10465271,10465273
cg18608151,chr8,30914807,30914809
cg24431515,chr11,290446,290448
cg03995933,chr9,132641420,132641422
cg07793163,chr12,12680896,12680898
cg13587802,chr12,122712380,122712382
cg21553656,chr3,49569378,49569380
cg13975953,chr10,7530676,7530678
cg13408086,chr9,140221396,140221398
cg12413643,chr13,100019379,100019381
cg09542579,chr4,10007965,10007967
cg16051742,chr6,27832097,27832099
cg25029657,chr1,6355007,6355009
cg03562952,chr5,1499203,1499205
cg11000311,chr7,118512847,118512849
cg19727188,chr3,126185803,126185805
cg22166025,chr6,112063038,112063040
cg21855041,chr2,119985066,119985068
cg23450578,chr4,1950877,1950879
cg11525109,chr12,51737007,51737009
cg15912732,chr14,105255284,105255286
cg20367388,chr7,5258484,5258486
cg16176069,chr7,1062783,1062785
cg00197322,chr7,1990553,1990555
cg05980782,chr3,101567800,101567802
cg23731089,chr8,141599207,141599209
cg26616258,chr16,358590,358592
cg27394566,chr14,105391634,105391636
cg09537268,chr2,242244971,242244973
cg23114616,chr1,6526397,6526399
cg06037603,chr16,24833083,24833085
cg10396713,chr8,602096,602098
cg18517055,chr17,80581700,80581702
cg03427191,chr16,4697111,4697113
cg01248273,chr2,160589096,160589098
cg14485205,chr20,3088151,3088153
cg13209388,chr1,6355059,6355061
cg19676553,chr14,105751628,105751630
cg03409108,chr6,34489784,34489786
cg03601764,chr6,43191630,43191632
cg13978175,chr7,2648221,2648223
cg01803362,chr16,23435112,23435114
cg11358363,chr7,30590816,30590818
cg04492567,chr17,19631463,19631465
cg00242035,chr11,47416357,47416359
cg16541275,chr17,78821753,78821755
cg05207933,chr3,43519241,43519243
cg17229371,chr5,1485469,1485471
cg01503390,chr11,64540949,64540951
cg19877683,chr17,80969514,80969516
cg21333217,chr3,129277320,129277322
cg24271718,chr7,151402022,151402024
cg13931640,chr9,137277818,137277820
cg08977014,chr17,42266018,42266020
cg24736694,chr9,126097640,126097642
cg11157208,chr1,15392307,15392309
cg11460110,chr6,30530457,30530459
cg12522870,chr18,42449636,42449638
cg00025526,chr8,134783218,134783220
cg07486119,chr7,2596722,2596724
cg18502618,chr21,46902263,46902265
cg26513170,chr11,21578515,21578517
cg00429622,chr19,3504944,3504946
cg06430632,chr6,166746925,166746927
cg08057432,chr16,89441216,89441218
cg24874602,chr4,16960937,16960939
cg09417925,chr16,88921166,88921168
cg04661759,chr11,73104225,73104227
cg23725321,chr10,102279689,102279691
cg20742175,chr20,57267356,57267358
cg02667577,chr7,5270566,5270568
cg19529732,chr12,122712100,122712102
cg06500418,chr2,174025842,174025844
cg11534243,chr10,12126714,12126716
cg11200862,chr3,45024607,45024609
cg16886835,chr7,30503543,30503545
cg12772203,chr11,66436213,66436215
cg02196503,chr6,28852315,28852317
cg19637821,chr12,133133571,133133573
cg14740883,chr10,73583367,73583369
cg02917606,chr17,30208175,30208177
cg13446911,chr9,96077699,96077701
cg12426092,chr15,31689569,31689571
cg13468144,chr17,4081427,4081429
cg01539849,chr11,47376753,47376755
cg02376282,chr11,1543205,1543207
cg02818170,chr19,3336940,3336942
cg00004836,chr7,157155663,157155665
cg15039797,chr7,139320345,139320347
cg07369269,chr3,105075217,105075219
cg03356868,chr19,4432121,4432123
cg06303635,chr10,45958758,45958760
cg09561353,chr9,131047931,131047933
cg12032497,chr3,121487462,121487464
cg23779286,chr1,115032584,115032586
cg18276249,chr15,63919319,63919321
cg12656902,chr14,75934890,75934892
cg24757160,chr11,67804111,67804113
cg20748065,chr7,75583420,75583422
cg22486242,chr6,5122547,5122549
cg19414630,chr8,48648873,48648875
cg00089960,chr12,122245654,122245656
cg17178546,chr17,62408906,62408908
cg24042899,chr17,80986551,80986553
cg01209296,chr20,62435315,62435317
cg17074014,chr17,3704493,3704495
cg14421700,chr17,77755964,77755966
cg06585734,chr3,46037941,46037943
cg18568335,chr14,105792504,105792506
cg20447066,chr6,157824907,157824909
cg23926598,chr2,47406857,47406859
cg18364120,chr11,118097055,118097057
cg22488164,chr12,14716909,14716911
cg01395261,chr19,18260514,18260516
cg05891759,chr3,121711722,121711724
cg04025761,chr12,111514550,111514552
cg06125903,chr20,57583327,57583329
cg24099565,chr11,3058477,3058479
cg11105743,chr18,12843730,12843732
cg23570411,chr20,44461420,44461422
cg15197202,chr19,10488964,10488966
cg14345154,chr14,89299301,89299303
cg16802439,chr16,88907183,88907185
cg13615530,chr12,48750283,48750285
cg15241519,chr11,121440891,121440893
cg10613532,chr8,17919494,17919496
cg16185834,chr20,25062818,25062820
cg22792161,chr9,5841793,5841795
cg02348445,chr6,159074792,159074794
cg01199327,chr11,44626749,44626751
cg26308793,chr1,12094650,12094652
cg03836171,chr7,1095464,1095466
cg19232326,chr19,1902025,1902027
cg27337277,chr19,44040456,44040458
cg06748309,chr13,95947539,95947541
cg16073378,chr2,468412,468414
cg14763104,chr11,2406383,2406385
cg07582886,chr17,38780294,38780296
cg23700338,chr1,21326867,21326869
cg27191184,chr16,580238,580240
cg20548433,chr1,116654343,116654345
cg11035945,chr15,53544385,53544387
cg08420065,chr8,142131464,142131466
cg13170263,chr10,101608354,101608356
cg08710911,chr22,37574794,37574796
cg06856602,chr16,73187986,73187988
cg11408613,chr2,28959116,28959118
cg04234631,chr16,8738440,8738442
cg14823851,chr17,59532305,59532307
cg07894331,chr22,22121118,22121120
cg08241841,chr19,2324337,2324339
cg02113493,chr19,33877269,33877271
cg03468015,chr8,96066633,96066635
cg14352586,chr9,101594149,101594151
cg02165555,chr22,20925849,20925851
cg06757405,chr5,140789449,140789451
cg13184651,chr20,37390400,37390402
cg06401532,chr16,24220007,24220009
cg10073690,chr18,43305544,43305546
cg14775958,chr6,170754744,170754746
cg14397144,chr8,94667861,94667863
cg24301930,chr11,65408495,65408497
cg15665244,chr5,137894634,137894636
cg24593932,chr19,17202737,17202739
cg17675088,chr5,93013223,93013225
cg26227957,chr1,19547284,19547286
cg18031307,chr2,74726648,74726650
cg19043574,chr2,99439532,99439534
cg22146755,chr18,48677830,48677832
cg21779385,chr4,77752230,77752232
cg12098228,chr7,2106320,2106322
cg17020454,chr8,103426210,103426212
cg14209317,chr9,35656692,35656694
cg21719817,chr6,15518130,15518132
cg08775230,chr11,111789492,111789494
cg02509486,chr2,216566033,216566035
cg21271099,chr16,27503738,27503740
cg18522740,chr10,101768579,101768581
cg05919238,chr17,79244157,79244159
cg14016406,chr3,32474565,32474567
cg14131038,chr2,106360708,106360710
cg18876294,chr11,118986470,118986472
cg02345285,chr11,34393827,34393829
cg22987448,chr19,8591363,8591365
cg08358907,chr19,17877507,17877509
cg11599269,chr4,38185082,38185084
cg09088496,chr13,24825972,24825974
cg18835472,chr6,26546055,26546057
cg02371473,chr13,42037300,42037302
cg11019014,chr6,30460797,30460799
cg20520514,chr10,119793651,119793653
cg24356707,chr16,174310,174312
cg17362523,chr5,14680766,14680768
cg27310068,chr10,124902398,124902400
cg26321999,chr6,30854010,30854012
cg21596469,chr7,135459173,135459175
cg23359489,chr15,75899869,75899871
cg11848483,chr8,144543485,144543487
cg16531348,chr21,45377216,45377218
cg01165403,chr3,135833526,135833528
cg14516946,chr5,65056259,65056261
cg08566157,chr8,2104532,2104534
cg22565340,chr11,47400174,47400176
cg20110671,chr12,105032718,105032720
cg14209800,chr2,26223521,26223523
cg27579854,chr17,80818991,80818993
cg04593668,chr5,133466990,133466992
cg00030432,chr7,100028973,100028975
cg07832056,chr8,125698321,125698323
cg26826793,chr6,36172019,36172021
cg10606834,chr17,59532196,59532198
cg10247643,chr21,27336478,27336480
cg00291573,chr5,17343960,17343962
cg08500472,chr21,19901837,19901839
cg19626138,chr8,37731968,37731970
cg15679935,chr2,69062127,69062129
cg23821920,chr22,20905255,20905257
cg17175527,chr12,109059805,109059807
cg14855367,chr3,191048307,191048309
cg13165240,chr17,3715742,3715744
cg17285931,chr2,240205407,240205409
cg08935101,chr1,109388749,109388751
cg17965495,chr3,194170223,194170225
cg13663572,chr6,170773300,170773302
cg08166169,chr4,6940901,6940903
cg07684151,chr16,81535067,81535069
cg02010763,chr15,61044828,61044830
cg18445108,chr17,5138258,5138260
cg00024705,chr2,32667476,32667478
cg24431966,chr17,79801786,79801788
cg22840076,chr19,41782155,41782157
cg10617605,chr10,126372062,126372064
cg21246698,chr6,3912363,3912365
cg15564329,chr22,26859953,26859955
cg14328332,chr12,31752347,31752349
cg04372535,chr11,968935,968937
cg11167160,chr16,72051242,72051244
cg22854223,chr11,44586504,44586506
cg18855165,chr9,93959684,93959686
cg08597292,chr6,89996027,89996029
cg24417971,chr7,101526237,101526239
cg22004608,chr6,17086922,17086924
cg13632064,chr10,135204467,135204469
