Name	UCSC_RefGene_Name	UCSC_RefGene_Group	Regulatory_Feature_Group	CHR_hg38	Start_hg38	End_hg38
cg14602222	RAD52	Body	Gene_Associated_Cell_type_specific	chr12	916496	916498
cg08526904	MEF2BNB-MEF2B;MEF2BNB-MEF2B;MEF2B;MEF2BNB-MEF2B	Body;Body;5'UTR;5'UTR	Unclassified_Cell_type_specific	chr19	19155681	19155683
cg16000989	DCAF4L1;DCAF4L1	5'UTR;1stExon		chr4	41981698	41981700
cg04593460	MAD1L1;MAD1L1;MAD1L1	Body;Body;Body		chr7	2005852	2005854
cg06625610	VAV2;VAV2	Body;Body		chr9	133794139	133794141
cg15209998	RAB11FIP4;RAB11FIP4	Body;Body		chr17	31510038	31510040
cg20746318				chr21	25722865	25722867
cg16017800	ARID1B;ARID1B;ARID1B	Body;Body;Body		chr6	156862979	156862981
cg04058177	MIR5095	Body		chr16	48431017	48431019
cg20090662				chr11	46321876	46321878
cg07584494	KDM4B	Body		chr19	5074746	5074748
cg05851482	AXIN1;AXIN1	Body;Body		chr16	342722	342724
cg27579771	ARHGAP26;ARHGAP26	Body;Body		chr5	143051706	143051708
cg09449988	PRKAG2;PRKAG2;PRKAG2	Body;Body;Body		chr7	151631029	151631031
cg23111945			Unclassified_Cell_type_specific	chr11	70233882	70233884
cg17566718	PRF1;PRF1	3'UTR;3'UTR		chr10	70597978	70597980
cg19188597				chr22	46074061	46074063
cg13342014	AGPAT3;AGPAT3	5'UTR;5'UTR		chr21	43930443	43930445
cg15536651	TAF7L;TAF7L	TSS200;Body		chrX	101291364	101291366
cg27638835	AXIN1;AXIN1	Body;Body		chr16	336372	336374
cg05968833	POLR1A	Body		chr2	86038927	86038929
cg03034148	WRNIP1;WRNIP1;WRNIP1;WRNIP1	ExonBnd;ExonBnd;Body;Body		chr6	2784341	2784343
cg01429558	LEPRE1;LEPRE1	Body;Body		chr1	42748875	42748877
cg20870372	UBAC2;UBAC2;UBAC2	Body;Body;Body		chr13	99215727	99215729
cg06047066				chr3	129523463	129523465
cg26065310	TRAF2	Body		chr9	136917785	136917787
cg08553572	ARID3A	Body	Unclassified_Cell_type_specific	chr19	947764	947766
cg07393058				chr18	11962889	11962891
cg01530292			Gene_Associated_Cell_type_specific	chr19	5669462	5669464
cg09762242	SIPA1;SIPA1	Body;Body	Promoter_Associated	chr11	65640957	65640959
cg04616571	COL17A1	Body		chr10	104032772	104032774
cg12711889	HIPK2;HIPK2	Body;Body		chr7	139650657	139650659
cg19086033	ACSBG1;ACSBG1	Body;Body		chr15	78172114	78172116
cg04163967	ERG;ERG;ERG;ERG	Body;Body;TSS200;TSS200		chr21	38498702	38498704
cg04060138	LARS	Body		chr5	146173207	146173209
cg11980117				chr22	22397362	22397364
cg14579184	TBCD	Body		chr17	82915488	82915490
cg16316183	SLC15A4;MGC16384	Body;TSS200		chr12	128814919	128814921
cg19225438	MTHFD1;MIR548AZ;MTHFD1	ExonBnd;Body;Body		chr14	64448335	64448337
cg15451187				chr16	69470259	69470261
cg18143296			NonGene_Associated	chr3	158094973	158094975
cg01291375				chr6	170444224	170444226
cg17615629	HLA-E	Body		chr6	30492089	30492091
cg06827976	FGR;FGR;FGR	5'UTR;5'UTR;5'UTR		chr1	27624077	27624079
cg07385375	RFTN1	Body		chr3	16426218	16426220
cg19442004	LIMK2;LIMK2;LIMK2	Body;Body;Body	Gene_Associated	chr22	31272652	31272654
cg11250268	RTEL1;RTEL1-TNFRSF6B;RTEL1;RTEL1;RTEL1	5'UTR;Body;Body;Body;Body		chr20	63666394	63666396
cg10809434	NSMCE1	Body		chr16	27232208	27232210
cg22161674			Unclassified_Cell_type_specific	chr2	234164515	234164517
cg18169610	CD81	Body	Unclassified_Cell_type_specific	chr11	2394386	2394388
cg21792134	IQCB1;IQCB1	Body;Body	Gene_Associated_Cell_type_specific	chr3	121772534	121772536
cg15958366	LPP;LPP;LPP	5'UTR;5'UTR;5'UTR		chr3	188239238	188239240
cg07231045				chr8	141209344	141209346
cg07293059	SLC17A9;SLC17A9	TSS1500;TSS1500		chr20	62951568	62951570
cg17974145	CUX1;CUX1;CUX1	Body;Body;Body		chr7	102028275	102028277
cg16733705			Unclassified_Cell_type_specific	chr12	85273837	85273839
cg20039163	EXT1	Body		chr8	117982323	117982325
cg22620221	DPP6	TSS200		chr7	153887330	153887332
cg13180508	DERL3;DERL3;DERL3;DERL3;DERL3	Body;Body;Body;ExonBnd;ExonBnd		chr22	23837168	23837170
cg02185182	MAD1L1;MAD1L1;MAD1L1	Body;Body;Body		chr7	2145914	2145916
cg11859419	NIN;NIN;NIN;NIN	Body;Body;Body;Body	Gene_Associated_Cell_type_specific	chr14	50798282	50798284
cg21724658	FYB;FYB;FYB	TSS1500;TSS1500;Body		chr5	39220956	39220958
cg14918424				chr8	120378630	120378632
cg13928306	ZNF205;ZNF205;MGC3771;MGC3771	TSS200;TSS200;Body;Body		chr16	3112395	3112397
cg08629372	KRI1;CDKN2D;CDKN2D	TSS1500;Body;Body		chr19	10567157	10567159
cg00157572	SIX6	Body		chr14	60511242	60511244
cg09867669	SMG6;SMG6	Body;Body		chr17	2300038	2300040
cg19512737	STK10	Body		chr5	172168482	172168484
cg20568305	GRAMD4	Body		chr22	46674353	46674355
cg15539117	SH2D6	TSS1500		chr2	85433875	85433877
cg22051913			Unclassified_Cell_type_specific	chr2	430054	430056
cg03388043	CCDC57	Body	Unclassified_Cell_type_specific	chr17	82126677	82126679
cg02110603	LINC01270	Body		chr20	50299333	50299335
cg16834212	SUCLG2	TSS1500	Unclassified	chr3	67656075	67656077
cg03831862	HIPK2;HIPK2	Body;Body		chr7	139655503	139655505
cg13043748	TBC1D20;TBC1D20	Body;Body		chr20	450436	450438
cg13618516	AATK	Body		chr17	81155277	81155279
cg19015143	TMEM218;TMEM218;TMEM218;TMEM218;TMEM218;TMEM218;TMEM218;TMEM218;TMEM218;TMEM218;TMEM218;TMEM218;TMEM218;TMEM218;TMEM218;TMEM218;TMEM218;TMEM218	Body;Body;Body;Body;Body;Body;Body;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR		chr11	125102865	125102867
cg10527635	SNRK;SNRK	Body;Body		chr3	43347858	43347860
cg00314173	EFHD2	Body		chr1	15421766	15421768
cg11072837	COL17A1	Body		chr10	104033599	104033601
cg12521152				chr16	71728100	71728102
cg19011001	ITPK1;ITPK1;ITPK1	Body;Body;Body		chr14	93073267	93073269
cg02464822				chr6	13733359	13733361
cg07537591	VGLL4;VGLL4;VGLL4	Body;Body;Body		chr3	11619600	11619602
cg03331514	MAFK	5'UTR		chr7	1537379	1537381
cg14690711	SFSWAP;SFSWAP	Body;Body		chr12	131770971	131770973
cg03903974	FAM49B;FAM49B	Body;Body		chr8	130005345	130005347
cg04819180	TBCD	Body	Unclassified	chr17	82871280	82871282
cg24895155			Unclassified_Cell_type_specific	chr8	126824953	126824955
cg14882828	ANKH	Body		chr5	14758040	14758042
cg23901274				chr21	26796216	26796218
cg05049790	LPCAT1	Body	Unclassified_Cell_type_specific	chr5	1499036	1499038
cg04440811	PRDM10;PRDM10;PRDM10;PRDM10	TSS200;TSS200;Body;Body		chr11	129947816	129947818
cg02290460	ERICH1;ERICH1	Body;Body	Unclassified_Cell_type_specific	chr8	669874	669876
cg22028456	SLC37A2;SLC37A2	Body;Body	Unclassified_Cell_type_specific	chr11	125072725	125072727
cg01616956	NMUR1	Body		chr2	231528484	231528486
cg25752703	KIAA1257	Body		chr3	128991546	128991548
cg15429655	SAR1A;SAR1A	5'UTR;5'UTR		chr10	70163656	70163658
cg22666015	INPP5D;INPP5D	Body;Body		chr2	233117174	233117176
cg24341448	HIVEP3;HIVEP3	5'UTR;5'UTR		chr1	41701031	41701033
cg17929130	ZBTB46	5'UTR	Unclassified_Cell_type_specific	chr20	63804000	63804002
cg26914256	NCK2;NCK2;NCK2	Body;Body;Body	Unclassified_Cell_type_specific	chr2	105857277	105857279
cg17321723	MAD1L1;MAD1L1;MAD1L1;MAD1L1;MAD1L1	Body;Body;Body;Body;Body		chr7	2076746	2076748
cg04698991	INTS9;INTS9;INTS9;INTS9	Body;Body;Body;Body		chr8	28778511	28778513
cg10098541	PDIA5;PDIA5	TSS1500;TSS1500	Promoter_Associated	chr3	123066802	123066804
cg21787305	CDC42EP4	TSS1500		chr17	73312666	73312668
cg13640297	WDR27	5'UTR	Gene_Associated_Cell_type_specific	chr6	169699141	169699143
cg19295170				chr15	74391262	74391264
cg18310515	GNLY;GNLY;GNLY;GNLY	5'UTR;1stExon;1stExon;5'UTR		chr2	85694405	85694407
cg16904106	TPD52L2;TPD52L2;TPD52L2;TPD52L2;TPD52L2;TPD52L2;TPD52L2;TPD52L2;TPD52L2;TPD52L2;TPD52L2	Body;Body;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR		chr20	63889977	63889979
cg07986378	ETV6	Body		chr12	11745349	11745351
cg13738327	LRP5	Body		chr11	68371764	68371766
cg09019636	EHBP1;EHBP1;EHBP1;EHBP1	Body;Body;Body;Body		chr2	62737630	62737632
cg08443124	GNG7	5'UTR		chr19	2681040	2681042
cg14015828	UBAC2;UBAC2;UBAC2;MIR548AN	Body;Body;Body;Body		chr13	99375226	99375228
cg18158479				chr8	42247014	42247016
cg17416169				chr13	44264564	44264566
cg24726200	RIPPLY3	TSS1500	Unclassified_Cell_type_specific	chr21	37006045	37006047
cg04831943				chr6	159098388	159098390
cg14946236			Unclassified_Cell_type_specific	chr9	131254303	131254305
cg17554464	SPRYD4	3'UTR		chr12	56470603	56470605
cg24585781	ANTXRLP1;ANTXRLP1	Body;Body		chr10	46228062	46228064
cg09859208	ARFGEF1	Body		chr8	67317264	67317266
cg24991963				chr14	35385768	35385770
cg13022415	VPS53;VPS53	Body;Body		chr17	562289	562291
cg21515766	STK10	Body		chr5	172168338	172168340
cg10276098	ERI1	TSS1500		chr8	9002038	9002040
cg08078028	EIF3A	Body		chr10	119042583	119042585
cg10104480	ZFHX3;ZFHX3	Body;Body		chr16	72921350	72921352
cg17884674	CSNK1G2	5'UTR	Unclassified_Cell_type_specific	chr19	1967198	1967200
cg22878786				chr12	56007071	56007073
cg25476713	FLJ10661	Body		chr8	8244598	8244600
cg07248377	MGRN1;MGRN1;MGRN1;MGRN1	Body;Body;Body;Body		chr16	4682404	4682406
cg16710656	ANKRD11	Body		chr16	89315559	89315561
cg14976569	C19orf10	Body		chr19	4667092	4667094
cg26647135	PILRB;PILRB;PILRB	5'UTR;TSS1500;5'UTR		chr7	100356776	100356778
cg21359303			Promoter_Associated	chr10	104308814	104308816
cg22900360	PRF1;PRF1	Body;Body	Unclassified_Cell_type_specific	chr10	70600615	70600617
cg14159576				chr7	47621363	47621365
cg25285289	STARD7-AS1	Body		chr2	96234032	96234034
cg15417024	YARS	Body		chr1	32783144	32783146
cg00681462			Unclassified_Cell_type_specific	chr14	75334020	75334022
cg02592133	C2orf55	5'UTR		chr2	98909571	98909573
cg16014651	TNRC18	Body	Promoter_Associated_Cell_type_specific	chr7	5395434	5395436
cg10374063	GPC5	Body		chr13	92843774	92843776
cg13652798	ORAI2;ORAI2;ORAI2;ORAI2	5'UTR;Body;Body;Body		chr7	102443636	102443638
cg21498676	ITGAE	Body		chr17	3718413	3718415
cg19196676	PLEKHA8P1	Body		chr12	45204890	45204892
cg26648455	TWISTNB	3'UTR		chr7	19696390	19696392
cg07528283				chr3	133567151	133567153
cg00678912				chr2	213241889	213241891
cg11731596				chr17	15917815	15917817
cg11108105				chr16	81739304	81739306
cg26396370	KLF11	3'UTR		chr2	10054624	10054626
cg15486224	ANKRD46	Body		chr8	100515332	100515334
cg22089737	LBX2;LBX2	1stExon;Body	Unclassified_Cell_type_specific	chr2	74499505	74499507
cg08748811				chr4	47465234	47465236
cg10802680	DIABLO;DIABLO;DIABLO;DIABLO	TSS200;TSS200;TSS200;TSS200		chr12	122227527	122227529
cg13318914	DDAH2	Body		chr6	31727283	31727285
cg06918740				chr19	18399162	18399164
cg15341692	ARAP1	5'UTR		chr11	72743650	72743652
cg18661463				chr13	102707677	102707679
cg20302236	INTS9;INTS9;INTS9;INTS9	Body;Body;Body;Body		chr8	28779775	28779777
cg05486531	MAP4K1;MAP4K1	Body;Body		chr19	38596702	38596704
cg08373904	HCCA2	Body	Unclassified_Cell_type_specific	chr11	1522044	1522046
cg02075976			Unclassified_Cell_type_specific	chr20	10633924	10633926
cg10157558	RHOBTB1;RHOBTB1;RHOBTB1;RHOBTB1	Body;Body;Body;Body		chr10	60911469	60911471
cg25386954	ZSWIM6	Body		chr5	61344311	61344313
cg04340595	CLSTN1;CLSTN1	3'UTR;3'UTR	Promoter_Associated_Cell_type_specific	chr1	9729115	9729117
cg18320790	ABHD2;ABHD2	5'UTR;5'UTR		chr15	89095341	89095343
cg01348584	RADIL	Body		chr7	4871390	4871392
cg06852746				chr10	69214887	69214889
cg22982754				chr5	131396300	131396302
cg02935272	MYOM1;MYOM1	Body;Body		chr18	3067386	3067388
cg11291456	RAP1B;RAP1B	5'UTR;5'UTR		chr12	68620740	68620742
cg05593759	GRAMD3;GRAMD3	1stExon;5'UTR		chr5	126360155	126360157
cg03891962	ANKRD11	Body		chr16	89270151	89270153
cg03064900				chr4	189644986	189644988
cg27142604	PSTPIP2	Body		chr18	46063075	46063077
cg02925148	CUL9	Body		chr6	43223913	43223915
cg07965924	LINC01089	Body	Gene_Associated_Cell_type_specific	chr12	121797073	121797075
cg25268422	VAV2;VAV2	Body;Body		chr9	133794190	133794192
cg09766547	NOD1	3'UTR		chr7	30425533	30425535
cg24690563	GTF2A1;GTF2A1;GTF2A1	5'UTR;Body;Body		chr14	81205767	81205769
cg02022181	C7orf50;C7orf50;MIR339;C7orf50	Body;Body;TSS1500;Body	Gene_Associated	chr7	1024254	1024256
cg23598378	C6orf132	Body	Unclassified	chr6	42105247	42105249
cg02430840				chr22	26597211	26597213
cg00409987	CREB3L1	Body		chr11	46319233	46319235
cg09849319	LPCAT1	Body	Unclassified	chr5	1494867	1494869
cg11765227	SIK2	Body		chr11	111715148	111715150
cg04915079	KIAA1683;KIAA1683;KIAA1683	TSS1500;TSS1500;TSS1500	Unclassified	chr19	18275040	18275042
cg20720686	POR	5'UTR		chr7	75953562	75953564
cg06380691	RASA3	Body		chr13	114062788	114062790
cg05193189	POLE	Body		chr12	132664950	132664952
cg18448570	BLNK;BLNK	TSS200;TSS200	Unclassified_Cell_type_specific	chr10	96271579	96271581
cg12550496				chr6	168884248	168884250
cg11183227	MAN2A2	Body		chr15	90912176	90912178
cg20832643	TRAF3IP2-AS1;TRAF3IP2-AS1;TRAF3IP2-AS1	Body;Body;Body		chr6	111552624	111552626
cg25851277	SS18L2	TSS1500		chr3	42589936	42589938
cg20453460	PPFIA1;PPFIA1;PPFIA1	Body;Body;Body		chr11	70358980	70358982
cg24410690	SLC15A4;MGC16384	Body;TSS200		chr12	128814935	128814937
cg10790709				chr12	95304307	95304309
cg17076369				chr2	88659625	88659627
cg16305792			Unclassified_Cell_type_specific	chr12	47708355	47708357
cg03156020	UBAC2;UBAC2;UBAC2;MIR548AN	Body;Body;Body;Body		chr13	99366728	99366730
cg12250581				chr12	1936643	1936645
cg16302816	PLEKHA7	Body		chr11	16813252	16813254
cg22857085				chr4	84482069	84482071
cg06617327	DLGAP1;DLGAP1;DLGAP1;DLGAP1;DLGAP1;DLGAP1;DLGAP1;DLGAP1;DLGAP1	Body;Body;Body;Body;Body;Body;Body;Body;Body		chr18	3661480	3661482
cg15208685			Unclassified_Cell_type_specific	chr14	69475664	69475666
cg00991875				chr6	160679343	160679345
cg21181210	BRF1;BRF1;BRF1;BRF1;BRF1	Body;Body;Body;5'UTR;5'UTR		chr14	105290528	105290530
cg00064733	DPP6	TSS200		chr7	153886952	153886954
cg26621918				chr22	20391704	20391706
